64114,2,40,16,2,1,1,1,1,2,1
64118,1,35,4,1,1,1,1,1,2,1
64118,2,25,5,2,1,1,1,1,2,2
64122,1,55,16,1,1,1,1,1,2,1
64122,2,50,2,2,1,1,2,,,
64122,3,22,7,1,1,1,1,30,2,1
64122,4,21,2,2,1,1,1,1,2,2
64124,1,40,5,2,3,11,1,1,2,1
64128,1,35,10,1,1,1,1,23,3,1
64128,3,28,2,1,1,1,1,1,2,2
64128,4,22,5,2,1,1,2,,,
64131,1,70,10,1,1,1,2,,,
64131,2,65,16,2,1,1,1,1,2,2
64131,10,25,7,1,1,1,2,,,
64132,1,50,16,1,1,1,1,1,2,1
64132,2,45,16,1,1,1,1,1,2,2
64132,4,22,13,1,1,1,1,1,2,1
64136,1,35,10,1,1,1,1,1,3,2
64136,2,25,7,2,1,1,1,1,3,2
64137,1,50,4,1,1,1,1,26,2,2
64137,2,40,16,2,1,1,1,1,2,2
64138,1,60,16,1,1,1,1,1,2,2
64138,2,50,16,1,1,1,1,1,2,2
64138,3,30,12,1,1,1,1,6,1,1
64138,4,28,12,2,1,1,1,15,3,2
64138,10,31,10,1,1,1,1,23,2,1
64138,11,28,10,2,1,1,2,,,
64140,1,48,16,1,1,1,2,,,
64140,2,38,16,1,1,1,1,1,2,2
64143,1,55,3,1,1,1,1,1,2,2
64143,2,40,5,2,1,1,1,1,2,2
64143,3,19,11,1,1,1,2,,,
64145,5,30,16,1,1,1,2,,,
64145,6,25,10,2,1,1,2,,,
64148,1,65,16,1,1,1,1,8,3,2
64148,2,55,16,2,1,1,2,,,
64148,4,26,7,1,1,1,1,13,2,1
64148,5,24,10,2,1,1,2,,,
64149,1,60,7,2,4,32,2,,,
64149,3,22,13,1,4,32,1,16,1,2
64150,1,50,10,1,1,35,1,9,2,1
64150,2,43,10,2,1,35,1,16,1,2
64153,2,60,16,1,1,1,1,1,2,2
64153,3,35,4,1,1,35,1,1,2,2
64156,1,45,2,1,2,17,1,1,2,1
64156,2,40,16,2,2,17,1,1,2,2
64157,1,35,7,1,2,17,1,9,2,1
64157,2,30,7,2,2,17,1,1,2,1
64159,1,40,16,1,3,11,1,13,2,1
64159,2,30,16,2,3,11,1,1,2,2
64162,1,47,4,1,3,3,1,1,3,2
64162,2,40,16,1,3,3,2,,,
64163,1,38,16,1,3,3,1,14,3,2
64163,2,35,16,2,3,3,1,1,2,1
64164,1,40,13,1,3,3,1,1,2,2
64164,2,30,8,2,3,3,1,15,2,2
64166,1,45,4,1,3,11,1,1,2,1
64168,1,48,7,1,3,3,1,1,3,2
64168,2,40,7,2,3,3,2,,,
64169,1,50,4,1,3,3,1,20,1,2
64169,2,40,16,2,3,3,2,,,
64170,1,58,2,1,3,3,1,1,3,2
64170,3,36,4,1,3,3,1,1,3,2
64170,4,30,12,2,3,3,2,,,
64175,1,70,7,1,3,33,1,1,3,2
64175,2,55,1,2,3,33,2,,,
64175,3,45,16,2,3,33,1,1,3,2
64181,1,60,7,1,3,3,1,1,3,2
64181,2,55,7,2,3,3,2,,,
64181,4,24,9,1,3,3,2,,,
64185,1,50,10,1,4,9,1,1,2,2
64185,2,40,10,2,4,9,2,,,
64186,1,55,4,1,3,3,1,13,2,2
64186,2,50,8,2,3,3,2,,,
64187,1,55,2,1,4,7,1,8,3,1
64187,2,49,16,2,3,7,2,,,
64187,7,25,9,1,4,7,1,10,2,1
64188,1,54,10,1,3,3,1,1,3,2
64188,3,25,7,1,3,3,2,,,
64190,1,48,9,1,3,13,1,13,2,1
64190,2,35,7,2,3,13,1,1,2,1
64192,1,40,3,1,3,33,1,1,3,2
64192,2,35,16,2,3,33,1,1,3,2
64193,1,35,7,1,3,3,1,1,3,2
64193,2,25,10,2,3,3,2,,,
64193,5,60,8,1,3,3,1,1,3,2
64196,1,45,16,1,3,3,2,,,
64196,2,18,10,1,3,3,1,6,1,1
64198,1,50,16,1,3,3,1,1,2,2
64198,2,40,16,2,3,3,1,1,3,2
64203,1,60,4,1,3,3,1,1,3,2
64203,2,50,16,2,3,3,2,,,
64204,1,55,3,1,3,3,1,1,3,2
64204,2,50,16,2,3,3,2,,,
64204,3,32,7,1,3,3,1,14,3,2
64204,4,28,6,2,3,3,1,1,3,2
64205,1,40,16,1,3,7,1,1,3,2
64205,2,30,16,2,3,5,1,1,3,2
64205,4,35,16,1,3,7,1,1,3,2
64205,5,25,8,2,3,7,2,,,
64206,1,35,10,1,3,19,1,13,2,2
64206,2,29,10,2,3,19,1,1,3,2
64207,1,60,16,1,3,3,1,1,3,2
64207,2,50,16,2,3,3,2,,,
64207,3,35,6,1,3,3,1,1,3,2
64207,4,30,12,2,3,3,2,,,
64207,7,20,10,1,3,3,2,,,
64209,1,38,10,1,3,3,1,1,3,2
64209,2,26,10,2,3,3,1,1,3,2
64211,1,50,10,1,3,3,1,1,3,2
64211,2,45,16,2,3,3,1,1,3,2
64211,3,19,12,1,3,3,2,,,
64213,1,45,3,1,3,3,1,1,3,2
64213,2,40,5,2,3,3,1,1,3,2
64214,1,40,16,1,3,7,1,1,3,2
64214,2,35,10,2,3,7,1,1,3,2
64214,3,18,12,1,3,7,2,,,
64218,1,55,10,1,3,3,1,1,3,2
64218,2,50,4,2,3,3,2,,,
64218,5,50,7,1,3,3,1,1,3,2
64218,6,45,16,2,3,3,2,,,
64218,8,19,15,1,3,3,2,,,
64218,10,48,8,1,3,3,1,9,3,1
64218,11,38,4,2,3,3,2,,,
64218,14,45,10,1,3,3,1,13,2,1
64218,15,40,10,1,3,3,2,,,
64220,1,38,10,1,3,3,1,1,3,2
64220,2,35,10,2,3,3,2,,,
64224,1,45,16,1,3,3,1,1,3,2
64224,2,40,16,2,3,3,2,,,
64225,1,45,16,1,3,3,1,14,3,2
64225,2,38,16,2,3,3,1,1,2,1
64229,1,50,16,1,3,13,1,5,2,1
64229,2,30,16,2,3,8,1,1,2,1
64229,3,40,16,2,3,8,1,1,2,1
64229,4,22,10,1,3,8,1,17,2,1
64229,5,18,10,2,3,8,2,,,
64230,1,42,4,2,3,3,1,17,2,2
64230,2,32,16,2,3,3,1,1,2,1
64233,1,40,16,1,3,3,1,14,3,2
64233,2,30,16,2,3,3,2,,,
64237,1,30,10,1,3,3,1,17,2,1
64237,2,26,16,2,3,3,2,,,
64237,5,50,16,1,3,3,1,1,2,1
64237,6,45,16,2,3,3,2,,,
64241,1,50,16,1,3,3,1,14,3,1
64241,2,45,16,2,3,3,1,14,3,2
64243,1,45,5,1,3,8,1,25,2,2
64243,2,35,4,2,3,8,1,8,3,2
64244,1,50,10,1,3,8,2,,,
64244,2,42,16,2,3,8,1,1,2,1
64246,1,35,10,1,3,3,1,1,3,2
64246,2,20,10,2,3,3,2,,,
64247,1,50,4,1,3,39,2,,,
64247,2,45,10,2,3,39,1,1,2,1
64248,1,60,10,1,3,3,1,1,3,2
64248,2,50,4,2,3,3,2,,,
64249,1,45,5,2,3,3,1,22,3,2
64249,2,38,4,1,3,3,1,1,2,2
64249,3,20,9,2,3,3,2,,,
